1,0,475,116,1,1
1,0,154,70,356,310
2,0,471,107,11,11
2,0,157,69,354,310
3,0,162,67,350,309
4,0,485,114,7,8
4,0,164,67,354,308
5,0,488,109,4,9
5,0,169,66,351,307
6,0,486,104,6,9
6,0,186,66,336,306
7,0,189,67,335,306
8,0,183,66,344,307
9,0,180,67,351,306
10,0,182,68,352,306
11,0,186,239,338,136
12,0,184,68,351,310
13,0,185,74,352,307
14,0,190,79,348,307
15,0,191,201,347,190
16,0,496,126,16,15
16,0,187,92,350,305
17,0,186,99,351,304
18,0,192,101,343,304
19,0,184,104,350,302
20,0,182,105,347,300
21,0,177,104,351,303
22,0,187,106,338,301
23,0,190,106,333,299
24,0,188,105,333,301
25,0,185,223,335,181
26,0,488,140,5,10
26,0,183,102,331,302
27,0,181,102,333,304
28,0,178,102,333,302
29,0,488,146,4,3
29,0,177,102,333,302
30,0,177,186,332,219
31,0,202,378,12,5
31,0,177,101,334,304
32,0,177,165,332,241
33,0,476,137,2,3
33,0,475,132,1,4
33,0,177,102,330,303
34,0,474,134,4,7
34,0,177,101,330,305
35,0,179,100,328,306
36,0,178,101,331,306
37,0,162,102,346,305
38,0,165,101,343,308
39,0,166,100,344,308
40,0,163,99,347,308
41,0,166,100,344,306
42,0,168,100,342,304
43,0,177,354,3,2
43,0,487,137,5,6
43,0,165,99,345,305
44,0,487,136,6,8
44,0,163,97,348,315
45,0,170,93,341,306
46,0,166,91,346,313
47,0,486,126,7,11
47,0,163,90,349,306
48,0,178,347,1,1
48,0,489,129,3,4
48,0,175,88,335,309
49,0,485,123,9,12
49,0,172,89,337,308
