1,0,154,70,356,310
1,1,157,69,354,310
1,2,162,67,350,309
1,3,164,67,354,308
1,4,169,66,351,307
1,5,186,66,336,306
1,6,189,67,335,306
1,7,183,66,344,307
1,8,180,67,351,306
1,9,182,68,352,306
1,10,186,239,338,136
1,11,184,68,351,310
1,12,185,74,352,307
1,13,190,79,348,307
1,14,191,201,347,190
1,15,187,92,350,305
1,16,186,99,351,304
1,17,192,101,343,304
1,18,184,104,350,302
1,19,182,105,347,300
1,20,177,104,351,303
1,21,187,106,338,301
1,22,190,106,333,299
1,23,188,105,333,301
1,24,185,223,335,181
1,25,183,102,331,302
1,26,181,102,333,304
1,27,178,102,333,302
1,28,177,102,333,302
1,29,177,186,332,219
1,30,177,101,334,304
1,31,177,165,332,241
1,32,177,102,330,303
1,33,177,101,330,305
1,34,179,100,328,306
1,35,178,101,331,306
1,36,162,102,346,305
1,37,165,101,343,308
1,38,166,100,344,308
1,39,163,99,347,308
1,40,166,100,344,306
1,41,168,100,342,304
1,42,165,99,345,305
1,43,163,97,348,315
1,44,170,93,341,306
1,45,166,91,346,313
1,46,163,90,349,306
1,47,175,88,335,309
3,3,485,114,7,8
3,4,488,109,4,9
3,5,486,104,6,9
12,46,486,126,7,11
12,47,489,129,3,4
12,48,485,123,9,12
